Designator,Mid X,Mid Y,Rotation,Layer
A1,75.39,-40.815,90.0,top
D1,71.66,-62.515,90.0,bottom
D10,89.91,-130.195,90.0,bottom
D11,107.66,-62.405,90.0,bottom
D12,107.78,-79.155,90.0,bottom
D13,107.94,-96.385,90.0,bottom
D14,107.72,-113.035,90.0,bottom
D15,107.55,-130.515,90.0,bottom
D16,126.04,-62.295,90.0,bottom
D17,125.93,-78.915,90.0,bottom
D18,125.71,-96.195,90.0,bottom
D19,125.82,-113.145,90.0,bottom
D2,71.66,-79.515,90.0,bottom
D20,125.6,-130.535,90.0,bottom
D21,140.95,-66.115,90.0,bottom
D22,141.06,-82.995,90.0,bottom
D23,141.14,-100.025,90.0,bottom
D24,141.19,-117.345,90.0,bottom
D25,141.01,-133.985,90.0,bottom
D3,71.66,-96.515,90.0,bottom
D4,71.66,-113.515,90.0,bottom
D5,71.66,-130.515,90.0,bottom
D6,89.66,-62.515,90.0,bottom
D7,89.72,-79.435,90.0,bottom
D8,89.74,-96.545,90.0,bottom
D9,89.91,-113.295,90.0,bottom
J1,145.45,-94.905,0.0,top
J2,51.89,-94.955,0.0,top
SW1,62.66,-58.2275,0.0,top
SW10,80.66,-126.2275,0.0,top
SW11,98.66,-58.2275,0.0,top
SW12,98.66,-75.2275,0.0,top
SW13,98.66,-92.2275,0.0,top
SW14,98.66,-109.2275,0.0,top
SW15,98.66,-126.2275,0.0,top
SW16,116.66,-58.2275,0.0,top
SW17,116.66,-75.2275,0.0,top
SW18,116.66,-92.2275,0.0,top
SW19,116.66,-109.2275,0.0,top
SW2,62.66,-75.2275,0.0,top
SW20,116.66,-126.2275,0.0,top
SW21,134.66,-58.2275,0.0,top
SW22,134.66,-75.2275,0.0,top
SW23,134.66,-92.2275,0.0,top
SW24,134.66,-109.2275,0.0,top
SW25,134.66,-126.2275,0.0,top
SW3,62.66,-92.2275,0.0,top
SW4,62.66,-109.2275,0.0,top
SW5,62.66,-126.2275,0.0,top
SW6,80.66,-58.2275,0.0,top
SW7,80.66,-75.2275,0.0,top
SW8,80.66,-92.2275,0.0,top
SW9,80.66,-109.2275,0.0,top
